Node_ID,Centroide,UF
16757,Águas Frias,SC
16758,União do Oeste,SC
16759,Nova Itaberaba,SC
16760,Coronel Freitas,SC
16761,Chapecó,SC
16762,Paial,SC
16763,Arvoredo,SC
16764,Cordilheira Alta,SC
16765,Marema,SC
16766,Lajeado Grande,SC
16767,Xaxim,SC
16768,Irati,SC
16769,Jardinópolis,SC
16770,Formosa do Sul,SC
16771,Quilombo,SC
16772,Novo Horizonte,SC
16773,São Lourenço do Oeste,SC
16774,Jupiá,SC
16775,Vitorino,PR
16776,Santiago do Sul,SC
16777,Coronel Martins,SC
16778,Entre Rios,SC
16779,Ipuaçu,SC
16780,São Domingos,SC
16781,Galvão,SC
16782,Pato Branco,PR
16783,Mariópolis,PR
16784,Salgado Filho,PR
16785,Manfrinópolis,PR
16786,Ampére,PR
16787,Nova Esperança do Sudoeste,PR
16788,Salto do Lontra,PR
16789,Marmeleiro,PR
16790,Renascença,PR
16791,Francisco Beltrão,PR
16792,Enéas Marques,PR
16793,Dois Vizinhos,PR
16794,Nova Prata do Iguaçu,PR
16795,Boa Vista da Aparecida,PR
16796,Boa Esperança do Iguaçu,PR
16797,Cruzeiro do Iguaçu,PR
16798,Três Barras do Paraná,PR
16799,Catanduvas,PR
16800,Bom Sucesso do Sul,PR
16801,Itapejara d'Oeste,PR
16802,Verê,PR
16803,São Jorge d'Oeste,PR
16804,São João,PR
16805,Sulina,PR
16806,Coronel Vivida,PR
16807,Saudade do Iguaçu,PR
16808,Chopinzinho,PR
16809,Quedas do Iguaçu,PR
16810,Espigão Alto do Iguaçu,PR
16811,Rio Bonito do Iguaçu,PR
16812,Nova Laranjeiras,PR
16813,Boqueirão do Leão,RS
16814,Progresso,RS
16815,Canudos do Vale,RS
16816,Pouso Novo,RS
16817,Fontoura Xavier,RS
16818,São José do Herval,RS
16819,Arvorezinha,RS
16820,Marques de Souza,RS
16821,Travesseiro,RS
16822,Coqueiro Baixo,RS
16823,Relvado,RS
16824,Capitão,RS
16825,Nova Bréscia,RS
16826,Putinga,RS
16827,Ilópolis,RS
16828,Doutor Ricardo,RS
16829,Anta Gorda,RS
16830,Itapuca,RS
16831,Camargo,RS
16832,Marau,RS
16833,Nova Alvorada,RS
16834,Montauri,RS
16835,União da Serra,RS
16836,Serafina Corrêa,RS
16837,Vila Maria,RS
16838,Casca,RS
16839,Santo Antônio do Palma,RS
16840,Gentil,RS
16841,Roca Sales,RS
16842,Encantado,RS
16843,Imigrante,RS
16844,Muçum,RS
16845,Coronel Pilar,RS
16846,Boa Vista do Sul,RS
16847,Santa Tereza,RS
16848,Vespasiano Correa,RS
16849,Dois Lajeados,RS
16850,Guaporé,RS
16851,São Valentim do Sul,RS
16852,Cotiporã,RS
16853,Fagundes Varela,RS
16854,Garibaldi,RS
16855,Monte Belo do Sul,RS
16856,Bento Gonçalves,RS
16857,Carlos Barbosa,RS
16858,Veranópolis,RS
16859,Vila Flores,RS
16860,Nova Roma do Sul,RS
16861,Vista Alegre do Prata,RS
16862,Paraí,RS
16863,Nova Bassano,RS
16864,Nova Araçá,RS
16865,São Domingos do Sul,RS
16866,Vanini,RS
16867,David Canabarro,RS
16868,Ciríaco,RS
16869,Guabiju,RS
16870,São Jorge,RS
16871,Muliterno,RS
16872,Nova Prata,RS
16873,André da Rocha,RS
16874,Protásio Alves,RS
16875,Ibiraiaras,RS
16876,Passo Fundo,RS
16877,Coxilha,RS
16878,Mato Castelhano,RS
16879,Ipiranga do Sul,RS
16880,Erebango,RS
16881,Sertão,RS
16882,Estação,RS
16883,Getúlio Vargas,RS
16884,Vila Lângaro,RS
16886,Tapejara,RS
16887,Floriano Peixoto,RS
16888,Charrua,RS
16889,Paulo Bento,RS
16890,Barão de Cotegipe,RS
16891,Erechim,RS
16892,Barra do Rio Azul,RS
16893,Itá,SC
16894,Aratiba,RS
16895,Áurea,RS
16896,Gaurama,RS
16897,Centenário,RS
16898,Carlos Gomes,RS
16899,Viadutos,RS
16900,Três Arroios,RS
16901,Severiano de Almeida,RS
16902,Mariano Moro,RS
16903,Marcelino Ramos,RS
16904,Santa Cecília do Sul,RS
16905,Ibiaçá,RS
16906,Caseiros,RS
16907,Sananduva,RS
16908,São João da Urtiga,RS
